Postcode-4,Inwoners Totaal (x1),Geboren in Nederland met een Nederlandse herkomst (%),Huishouden Totaal (x1),Huishoudgrootte (x1),Woning Totaal (x1),Eigendom Koopwoning (%),"WOZ-waarde
woning (x 1 000 Euro)",Omgevingsadressendichtheid (adressen/km2)
1241,6645,90,2990,2.2,2945,70,424,885
1243,1335,80,695,1.9,725,60,462,549
1244,1530,90,655,2.3,670,80,474,207
1251,11190,80,5005,2.1,5305,70,793,1109
1252,335,80,125,2.5,140,60,732,990
1261,10880,80,4715,2.3,4855,70,749,1081
1262,1475,80,450,3.2,475,80,687,1141
1271,8050,80,3815,2.1,3855,60,400,1725
1272,6295,80,2520,2.4,2640,80,760,1110
1273,8755,80,4155,2.1,4225,50,311,2383
1274,6365,70,3095,2.0,3110,50,290,2323
1275,1985,80,940,2.1,955,50,301,2588
1276,7450,80,3225,2.2,3420,50,306,2433
1277,2035,80,870,2.3,880,80,458,1693
1309,35,90,20,2.1,15,90,312,132
1311,4755,60,2080,2.3,2025,70,295,1755
1312,6955,60,2950,2.4,2820,70,317,1766
1313,4310,60,1860,2.3,1765,70,283,1209
1314,6050,40,2945,2.0,2770,40,225,2008
1315,4165,40,2250,1.6,2290,30,234,2471
1316,4060,70,1775,2.3,1735,90,348,1293
1317,4060,60,1820,2.2,1695,70,251,1025
1318,9560,50,3710,2.4,3610,60,300,1719
1319,7295,60,2590,2.8,2490,80,458,623
1321,9705,50,3660,2.6,3520,70,340,1595
1323,6205,60,2865,2.1,2695,70,289,2334
1324,10390,40,4675,2.2,4270,50,256,2087
1325,10365,50,4640,2.2,4485,60,308,1518
1326,11150,50,4465,2.5,4285,70,318,1869
1328,9895,50,3955,2.5,3745,70,325,1695
1331,200,90,75,2.6,85,70,467,84
1332,5,-99997,-99997,-99997.0,5,-99997,432,251
1333,12450,60,5335,2.3,5110,60,268,1636
1334,2325,50,1270,1.7,1360,20,202,2383
1335,12410,50,5060,2.4,4795,70,295,1925
1336,9120,60,3500,2.5,3415,70,339,1232
1338,9640,60,4120,2.3,3915,70,277,1843
1339,11260,50,4565,2.5,4340,70,297,1934
1341,3375,70,1125,3.0,1120,80,389,351
1343,1445,70,585,2.5,590,100,618,223
1349,3325,80,1335,2.5,995,90,500,133
1351,1990,80,865,2.3,860,90,306,1189
1352,1695,70,780,2.2,775,80,274,1595
1353,4895,60,2445,2.0,2500,30,220,1627
