Postcode-4,Inwoners Totaal (x1),Geboren in Nederland met een Nederlandse herkomst (%),Huishouden Totaal (x1),Huishoudgrootte (x1),Woning Totaal (x1),Eigendom Koopwoning (%),"WOZ-waarde
woning (x 1 000 Euro)",Omgevingsadressendichtheid (adressen/km2)
2251,11370,70,5075,2.2,5160,60,433,1731
2252,5195,80,2180,2.3,2295,70,466,1686
2253,8210,80,3790,2.2,3760,60,376,2205
2254,850,80,320,2.6,320,80,546,1243
2261,4980,70,2405,2.1,2430,60,389,2209
2262,3185,50,1775,1.8,1835,40,195,2906
2263,5855,50,2740,2.0,2710,40,227,2447
2264,8705,70,3895,2.2,3990,60,362,2964
2265,4735,70,2325,2.0,2420,60,388,2493
2266,6460,80,2810,2.3,2845,50,340,1354
2267,420,70,170,2.5,165,100,784,1299
2271,7200,80,3100,2.3,3165,70,498,2397
2272,8500,70,3860,2.2,4005,60,392,2832
2273,10220,50,5845,1.7,5760,40,246,4133
2274,11595,60,6035,1.9,5920,60,293,3909
2275,4795,70,1990,2.4,1965,80,495,2539
2281,4675,70,2090,2.2,2060,80,437,4016
2282,10440,60,5490,1.9,5695,50,279,3997
2283,6790,60,3750,1.8,3805,50,255,3152
2284,4675,50,2745,1.7,2775,30,212,3657
2285,8215,60,3835,2.0,4025,50,305,3277
2286,13030,60,5325,2.4,5300,50,350,2627
2287,4230,50,2160,2.0,2195,30,227,3056
2288,3070,50,1340,2.1,1230,60,387,2044
2289,1815,70,835,2.2,815,70,406,1493
2291,13780,80,5805,2.3,5665,70,357,2273
2292,2925,80,1050,2.8,1055,70,409,2080
2295,3815,80,1625,2.4,1575,70,394,594
2311,10800,70,7535,1.4,5155,30,436,5506
2312,14295,60,10105,1.4,7640,20,338,5584
2313,12285,80,5965,2.0,5660,60,433,4266
2314,6135,70,2755,2.2,2700,60,442,2786
2315,8540,60,4595,1.9,4355,30,273,4547
2316,10350,60,5540,1.8,4965,40,340,4651
2317,10805,60,4855,2.2,4760,60,330,2546
2318,3280,70,1365,2.4,1335,80,410,2070
2321,11715,60,7120,1.6,6975,20,265,3775
2322,195,80,130,1.5,80,60,347,748
2323,170,80,85,2.0,65,90,832,1234
2324,9780,60,5525,1.7,5045,50,270,3316
2331,10775,80,4765,2.3,4685,60,353,2146
2332,10110,60,5465,1.8,5270,40,310,2966
2333,3330,60,2165,1.5,1885,30,348,2348
2334,2505,60,1270,2.0,1025,70,561,2216
2341,10255,70,4435,2.3,4515,70,553,1886
2342,3900,70,1370,2.7,1355,80,628,1207
2343,11345,70,5210,2.2,5205,70,429,1815
2351,5345,80,2190,2.4,2180,80,459,1683
2352,9010,70,4440,2.0,4410,50,312,3246
2353,13110,80,5875,2.2,5935,70,363,2222
2355,1690,90,745,2.3,690,70,390,208
2361,4915,80,2315,2.1,2260,60,506,783
2362,165,90,75,2.2,40,70,496,69
2371,9430,90,4025,2.3,4100,60,379,1036
2374,700,90,310,2.2,320,70,438,168
2375,1655,90,705,2.3,705,60,387,216
2376,695,90,285,2.4,280,80,416,396
2377,3810,90,1635,2.3,1700,60,324,837
2381,5685,90,2335,2.3,2415,70,398,564
2382,3545,80,1490,2.4,1495,70,412,1229
2391,6170,90,2515,2.4,2550,70,376,500
2394,5500,90,2445,2.2,2400,70,322,831
2396,4120,90,1775,2.3,1795,60,349,810
2401,9230,70,4065,2.3,4100,60,294,1938
2402,13585,70,6295,2.1,6305,50,250,3042
2403,10135,70,4470,2.3,4420,60,261,2181
2404,4895,70,2540,1.8,2625,50,240,2169
2405,7985,80,3850,2.1,3985,60,282,2982
2406,9510,80,4350,2.2,4260,70,314,2681
2407,885,90,365,2.4,310,80,469,239
2408,17830,80,7110,2.5,7030,70,373,2101
2409,40,90,20,2.2,20,80,643,126
2411,17910,80,7655,2.3,7525,70,327,1597
2412,1670,80,540,3.1,555,80,425,920
2415,1835,90,735,2.5,750,80,410,203
2421,9420,90,3915,2.4,3880,70,381,782
2431,1805,90,765,2.3,780,80,421,211
2432,190,90,75,2.6,70,90,484,74
2435,3040,90,1330,2.3,1070,70,351,225
2441,4360,90,1605,2.5,1620,70,366,409
2445,1190,90,500,2.4,510,70,449,104
2451,4600,80,2045,2.2,2010,70,376,551
2461,9580,90,4025,2.4,3980,70,378,455
2465,1220,80,540,2.3,520,70,419,167
2471,1890,80,600,2.3,610,60,439,220
2481,3640,90,1525,2.3,1580,70,380,478
2491,250,70,95,2.6,80,90,665,1308
2492,12430,60,4660,2.6,4660,70,409,1469
2493,8125,50,2770,2.9,2685,70,449,1475
2495,185,80,85,2.2,70,90,629,1296
2496,11325,50,4525,2.5,4390,50,418,1761
2497,10275,50,3990,2.6,3700,60,366,1682
2498,5690,70,1905,3.0,1880,60,492,1085
2511,4785,40,2950,1.6,2870,20,333,6838
2512,14560,30,8540,1.7,8330,20,230,8647
2513,8055,40,4665,1.7,4720,30,315,7923
2514,3750,40,2405,1.5,2685,40,528,5118
2515,12880,20,7185,1.8,6715,10,215,7426
2516,11410,20,5140,1.8,4860,10,195,5361
2517,11335,50,5905,1.8,6000,50,453,5986
2518,11525,50,6825,1.7,6405,30,352,7087
2521,12295,20,7730,1.6,6840,10,191,7267
2522,12800,20,6905,1.8,5810,40,199,6552
2523,5650,20,2825,2.0,2390,40,205,5690
2524,6845,20,3115,2.2,2685,40,226,4625
2525,15255,10,6460,2.3,5570,30,230,7569
2526,12925,10,5935,2.2,5330,20,211,8575
2531,8715,20,4445,1.9,4050,30,192,4589
2532,5990,20,3070,1.9,3315,10,178,3974
2533,7320,20,3845,1.9,3935,10,176,4334
2541,8110,20,4275,1.9,4060,20,167,4284
2542,10460,20,4800,2.1,4430,20,207,3331
2543,6505,20,3060,2.1,2940,20,189,3661
2544,12250,30,5955,2.0,5690,30,221,3433
2545,12555,30,6250,2.0,5805,40,230,4654
2546,6215,50,3195,1.9,2900,70,229,5674
2547,8190,60,4515,1.8,4530,50,213,6186
2548,23280,50,8560,2.7,8195,60,401,2670
2551,11280,60,5795,1.9,6110,40,247,4585
2552,16240,60,7485,2.1,7740,50,273,4335
2553,11015,70,4925,2.2,5085,50,383,2277
2554,2215,70,1045,2.0,1130,50,548,1693
2555,9090,70,5340,1.6,5800,50,289,3858
2561,5465,50,2870,1.9,2795,50,328,8109
2562,10980,40,6240,1.7,6005,30,245,8740
2563,10430,50,5675,1.8,5420,50,281,7730
2564,11495,70,5390,2.1,5400,70,378,5325
2565,12275,70,6235,2.0,6315,70,355,5477
2566,6645,70,2785,2.3,2995,80,629,3232
2571,10880,20,5530,1.9,5085,20,204,8522
2572,9770,10,4070,2.4,3400,40,236,7645
2573,10555,20,5355,2.0,4590,50,205,7517
2574,7270,40,3755,1.9,3360,50,215,7432
2581,3190,60,1490,2.1,1620,80,391,4056
2582,9210,50,4350,2.1,4545,60,612,4373
2583,11810,70,6050,1.9,6245,40,295,3158
2584,7120,60,3730,1.9,3900,40,356,4304
2585,6820,50,3780,1.8,4075,50,605,3420
2586,7955,60,4490,1.8,4875,60,345,3726
2587,8355,60,4240,1.9,4035,60,488,2763
2591,7455,40,4040,1.8,4185,40,230,2945
2592,6915,40,4120,1.7,4285,30,219,3332
2593,8815,50,5110,1.7,5045,50,321,4147
2594,1995,50,965,1.9,1190,60,540,3219
2595,9200,40,5115,1.8,4910,40,338,4589
2596,8010,50,3585,2.2,4040,60,622,2690
2597,8725,60,4235,2.0,4965,70,570,1600
2611,13250,60,8845,1.5,6790,40,380,4711
2612,9320,70,5125,1.7,4350,40,311,2707
2613,13010,70,7565,1.7,6165,50,328,4695
2614,12840,70,5780,2.2,5745,50,345,3188
2616,105,60,65,1.7,25,80,666,1443
2622,7990,70,3805,2.1,3785,50,283,2238
2623,6005,70,3135,1.9,3040,50,266,2176
2624,13540,50,8195,1.6,7400,30,211,4494
2625,13405,50,7165,1.9,6660,30,216,3607
2626,60,80,20,2.8,20,70,853,1263
2627,1450,60,785,1.8,765,50,383,3990
2628,13295,50,8680,1.5,7260,20,249,2879
2629,300,70,165,1.8,125,60,355,916
2631,15315,70,5725,2.6,5870,70,447,1795
2632,3725,70,1415,2.6,1400,70,373,2004
2635,8480,80,3435,2.5,3440,70,423,2334
2636,4380,90,1785,2.4,1825,70,412,444
2641,14650,80,6245,2.3,6315,70,376,1399
2642,8595,80,3105,2.8,3115,80,407,1589
2643,5220,70,1960,2.6,2065,50,396,1508
2645,9065,80,3590,2.5,3440,80,394,1324
2651,18885,80,7540,2.5,7640,70,394,1355
2652,14070,70,4995,2.8,4905,70,450,1475
2661,13240,80,5155,2.6,5240,80,418,1463
2662,5930,70,2210,2.7,2170,70,411,1620
2665,11985,80,4795,2.5,4875,70,392,980
2671,13080,80,6045,2.1,5960,60,364,1979
2672,5970,90,2450,2.4,2425,80,409,1607
2673,3165,90,1095,2.8,1160,90,492,1560
2675,7660,80,3415,2.2,3105,70,378,797
2676,4430,80,1960,2.2,1730,70,395,537
2678,12455,90,5150,2.4,4990,70,378,1039
2681,14165,80,6015,2.3,5970,70,359,1348
2684,730,80,325,2.2,330,20,259,1368
2685,7240,80,3035,2.3,3005,60,364,901
2691,13930,80,6105,2.3,5835,70,381,1523
2692,4170,90,1715,2.4,1685,70,352,1560
2693,1620,90,645,2.5,635,80,418,1319
2694,3310,90,1230,2.7,1245,80,408,1655
2711,4830,60,3005,1.6,3000,20,221,3691
2712,5280,80,2645,2.0,2720,70,279,2604
2713,6360,60,3360,1.9,3405,50,243,3440
2715,5690,50,2820,2.0,2805,40,215,3545
2716,10060,60,4525,2.2,4580,50,260,2630
2717,7690,60,3480,2.2,3415,40,240,2419
2718,8905,70,3760,2.4,3740,70,307,1761
2719,11810,70,5060,2.3,5180,70,349,1720
2721,10880,60,4065,2.6,4075,60,396,1728
2722,5070,60,2635,1.9,2635,30,227,2821
2723,3780,70,1710,2.2,1675,60,265,2481
2724,7145,70,3390,2.1,3505,60,251,3175
2725,5860,80,2675,2.2,2670,70,323,2149
2726,6110,70,2825,2.1,2975,50,256,2969
2727,5255,70,2230,2.4,2180,60,272,2742
2728,8635,70,3660,2.4,3565,70,341,1865
2729,12395,60,4635,2.7,4540,60,363,2149
2731,3600,90,1390,2.6,1420,70,341,808
2735,75,100,25,2.7,30,100,449,94
2741,11865,80,5070,2.3,5145,60,298,1639
2742,12510,80,4995,2.5,4995,60,340,1610
2743,6965,80,2895,2.3,2910,70,322,1379
2751,4780,90,1700,2.7,1755,70,373,537
2752,340,90,150,2.3,105,80,437,241
2761,9055,80,3555,2.5,3590,70,381,761
2771,16370,80,7125,2.3,7060,60,313,948
2801,8515,70,4745,1.8,4775,40,275,3611
2802,9625,70,4595,2.1,4440,50,220,2419
2803,9445,80,4560,2.0,4730,50,289,2287
2804,12045,80,5470,2.2,5510,60,288,2173
2805,10735,80,4885,2.2,4945,60,283,2858
2806,9815,70,4420,2.1,4365,60,264,3145
2807,10795,70,4310,2.5,4260,60,285,1524
2808,435,90,190,2.3,185,80,398,1703
2809,2685,70,1065,2.5,855,70,451,819
2811,10635,90,4500,2.3,4665,70,454,843
2821,5410,90,2100,2.5,2110,70,380,429
2825,1715,90,605,2.8,615,80,441,126
2831,2585,90,1075,2.4,1070,60,290,982
2841,8975,80,3690,2.4,3730,70,307,1064
2851,4370,90,1845,2.3,1865,70,371,492
2855,645,90,250,2.5,250,70,440,55
2861,7100,90,2910,2.4,2955,70,374,671
2865,1700,90,765,2.2,765,60,294,442
2871,11975,80,5465,2.2,5330,60,293,1198
2872,1405,90,460,3.0,450,90,454,568
2901,9370,70,3800,2.4,3790,80,348,1983
2902,8365,60,4040,2.0,4020,60,284,2565
2903,8390,60,4055,2.0,4610,40,236,2895
2904,8175,70,3870,2.1,3730,60,300,2401
2905,6755,50,3325,2.0,3330,30,222,2359
2906,5585,60,2675,2.1,2620,40,245,2309
2907,13945,60,6840,2.0,6760,50,243,2185
2908,3295,60,1625,2.0,1590,50,246,2047
2909,3310,40,1325,2.5,1305,60,372,1444
2911,7785,80,3055,2.5,2990,70,428,1359
2912,6570,80,2865,2.2,2905,60,324,1895
2913,505,90,185,2.7,190,90,469,753
2914,7790,80,3405,2.3,3415,70,300,1662
2921,2275,90,860,2.5,835,90,376,1458
2922,6945,80,3150,2.1,3215,50,276,2445
2923,6240,80,2685,2.3,2695,60,292,2072
2924,4290,80,1790,2.3,1895,60,347,1936
2925,7050,80,2835,2.5,2845,60,336,1687
2926,2610,80,1075,2.4,1085,70,385,1518
2931,6525,90,2955,2.2,3020,60,291,897
2935,5840,90,2275,2.6,2305,80,327,481
2941,7790,90,3385,2.3,3410,70,314,958
2951,10555,80,4440,2.3,4505,60,258,1831
2952,1045,90,355,2.9,350,90,507,825
2953,5860,80,2455,2.4,2535,60,249,1205
2954,2630,90,1020,2.6,1025,80,329,1649
2957,8615,90,3195,2.7,3260,60,280,828
2959,2485,90,940,2.6,950,70,343,240
2961,805,90,345,2.3,345,90,277,639
2964,4285,90,1690,2.5,1745,70,341,487
2965,1435,90,685,2.1,705,60,290,426
2967,1730,90,665,2.6,680,60,335,324
2968,135,90,45,2.9,45,90,416,52
2969,2315,90,800,2.9,825,80,388,237
2971,2880,90,1000,2.8,1080,70,344,294
2973,1205,90,450,2.7,455,70,375,200
2974,1355,90,505,2.7,505,70,383,162
2975,960,90,345,2.8,345,70,421,65
2977,940,90,355,2.6,360,80,401,87
2981,3285,70,1520,2.1,1585,50,259,2330
2982,6645,70,3305,2.0,3340,40,238,1860
2983,9480,80,4210,2.2,4285,70,295,1492
2984,3470,80,1360,2.5,1380,90,360,1692
2985,4700,80,2120,2.2,2110,60,273,2098
2986,8135,80,3460,2.3,3560,50,294,1832
2987,7785,70,3715,2.1,3735,50,260,1973
2988,2800,90,1165,2.4,1175,80,391,426
2989,805,90,310,2.6,320,80,382,886
2991,13200,80,5525,2.4,5605,70,353,1579
2992,14490,80,5875,2.5,5945,70,356,1810
2993,14160,70,5670,2.5,5640,70,388,1717
2994,6865,60,2425,2.8,2405,70,394,1526
2995,3820,90,1695,2.2,1715,70,331,534
3011,18045,50,10885,1.5,9450,30,371,6453
3012,6335,40,3795,1.5,3760,20,332,6489
3013,1055,40,685,1.5,605,40,371,7118
3014,7770,20,4075,1.9,3840,10,273,6665
3015,3050,60,1960,1.6,1630,40,377,5903
3016,2450,60,1635,1.5,1235,40,512,3781
3021,11890,40,6720,1.8,5725,30,313,7030
3022,10025,30,4930,2.0,4410,30,285,6071
3023,9495,30,4900,1.9,4175,30,302,7516
3024,9650,40,5345,1.7,4990,30,280,4619
3025,7130,20,3500,2.0,3215,20,220,5621
3026,7370,20,3865,1.9,3515,10,212,6579
3027,10085,20,4515,2.2,4215,30,229,4910
3028,7710,30,4535,1.7,4050,30,169,3686
3029,4365,10,2245,1.9,2270,10,186,3435
3031,8300,40,4940,1.7,4590,20,272,7795
3032,6475,40,3615,1.7,3435,30,285,8244
3033,4770,40,2770,1.7,2595,30,304,7281
3034,11725,40,5800,2.0,5825,10,268,5985
3035,6875,40,3835,1.8,3555,20,267,8102
3036,7860,30,3855,2.0,3715,20,269,6448
3037,7770,50,4175,1.8,3800,40,328,6641
3038,8040,50,5235,1.5,4820,30,264,5929
3039,10450,70,6210,1.7,5600,60,331,5205
3041,180,40,35,1.8,-99997,-99997,-99997,2119
3042,7915,40,3830,2.0,3980,30,236,1943
3043,7155,70,3485,2.1,3480,60,276,1790
3044,125,80,55,2.2,40,60,373,1485
3045,4370,70,1435,3.0,1310,80,600,997
3046,335,90,140,2.2,135,90,526,60
3047,65,80,30,2.3,30,80,586,509
3051,7960,70,3920,2.0,3800,70,353,3183
3052,6445,50,2845,2.2,2850,30,279,2774
3053,10420,60,5015,2.0,5210,40,319,2417
3054,7845,70,3945,1.9,4120,50,477,2088
3055,8145,80,3350,2.4,3470,70,606,1704
3056,3350,70,1325,2.5,1295,80,435,886
3059,12910,70,4725,2.7,4675,70,480,1194
3061,15860,40,9065,1.7,8145,30,311,5713
3062,8445,60,4765,1.8,3895,50,586,3123
3063,10390,40,7110,1.5,5835,30,281,3529
3064,1655,70,770,2.1,740,70,252,1544
3065,8180,60,3620,2.3,3510,60,483,2029
3066,10295,60,5390,1.9,5410,40,296,2942
3067,21055,50,11685,1.8,11350,40,236,3322
3068,22645,60,10740,2.1,10815,40,245,2913
3069,18880,60,9610,1.9,9710,40,255,2646
3071,20030,30,9810,2.0,9365,30,298,4579
3072,16630,30,8325,2.0,8655,20,317,4802
3073,14090,20,6755,2.1,6340,20,179,6447
3074,12280,20,5645,2.2,5050,20,185,4764
3075,13540,50,6770,2.0,6800,10,217,4128
3076,14410,40,7095,2.0,7060,30,200,2620
3077,17880,40,7970,2.2,7600,50,230,2217
3078,12725,50,6225,2.0,6390,30,213,2666
3079,16170,50,7735,2.1,7885,40,211,2772
3081,12400,20,6500,1.9,5820,20,167,5847
3082,12105,30,6310,1.9,6010,30,183,3653
3083,14515,30,8445,1.7,7905,30,161,5083
3084,2165,60,880,1.7,1035,20,230,2163
3085,13855,40,7005,1.9,7070,20,203,2737
3086,12395,30,5680,2.1,5555,30,203,2620
3087,1830,40,920,2.0,910,30,244,2309
3088,20,90,-99997,-99997.0,15,60,243,371
3089,1760,60,835,2.1,830,40,240,314
3111,5125,60,2905,1.7,2845,50,273,5105
3112,11250,30,5790,1.9,5340,40,206,4453
3113,10,60,5,1.6,10,-99997,346,3637
3114,6235,60,3190,2.0,3115,50,219,2099
3115,25,70,10,2.3,10,50,-99997,994
3116,3290,80,1470,2.2,1600,70,367,3369
3117,9430,50,4630,2.0,4585,50,217,3794
3118,5895,30,2635,2.2,2635,40,232,3228
3119,9615,30,4500,2.1,4645,40,210,3694
3121,3480,80,1550,2.2,1565,70,339,2433
3122,9560,50,4735,2.0,4795,30,197,3098
3123,7325,80,3330,2.2,3330,60,282,2607
3124,8100,80,3165,2.5,3140,80,368,1848
3125,305,90,135,2.2,125,70,417,1103
3131,15380,60,7785,2.0,7885,50,210,3563
3132,12665,50,6130,2.1,6090,40,206,2062
3133,1400,80,810,1.7,820,30,248,1988
3134,7305,70,3420,2.1,3490,60,259,3236
3135,12780,70,5490,2.3,5500,60,280,2627
3136,11255,70,5285,2.0,5770,30,241,3134
3137,13355,80,6210,2.1,6230,50,280,2481
3138,5,-99997,-99997,-99997.0,5,-99997,603,1135
3141,6190,60,3045,2.0,3215,50,226,2056
3142,5635,70,2570,2.2,2610,30,248,2477
3143,2590,70,1195,2.2,1240,70,263,2217
3144,6930,70,3185,2.1,3430,50,262,2293
3145,6955,70,3020,2.3,3025,60,278,1918
3146,4790,80,2000,2.4,1995,80,298,1234
3147,1060,90,345,3.1,460,80,500,1666
3151,10340,80,4845,2.1,5790,40,266,1024
3155,6625,90,2775,2.4,2790,70,418,751
3161,9025,80,4005,2.2,4075,70,369,959
3162,7445,70,2725,2.7,2700,80,390,1121
3171,5830,80,2450,2.3,2540,60,322,1191
3172,1105,70,270,2.2,285,60,382,655
3176,2530,80,1010,2.5,1020,80,389,983
3181,12455,70,5675,2.2,5835,50,230,1216
3191,9860,70,4445,2.2,4350,60,248,2423
3192,13080,60,6310,2.0,6190,30,226,2181
3193,6230,50,2905,2.1,2880,50,231,1593
3194,6405,50,2690,2.3,2750,60,247,1751
3195,4865,80,2225,2.2,2270,70,239,741
3199,5,-99997,5,1.0,-99997,-99997,-99997,7
3201,14870,70,7105,2.0,7190,50,235,2779
3202,7150,70,3635,1.9,3700,50,194,1705
3203,3725,70,1760,2.0,2040,40,215,3182
3204,7160,60,3265,2.2,3460,40,200,3259
3205,8405,70,3485,2.4,3475,70,236,2479
3206,10050,60,4580,2.2,4535,50,199,2385
3207,15240,80,6550,2.3,6530,70,290,1690
3208,5985,70,2810,2.1,2790,60,223,1732
3209,1690,90,695,2.4,700,70,361,969
3211,1615,90,770,2.1,785,60,263,299
3212,595,90,290,2.0,340,70,295,180
3214,6100,90,2565,2.3,2710,70,311,759
3216,1270,90,545,2.3,555,80,335,151
3218,2475,90,1090,2.3,1110,80,269,417
3221,5420,80,2700,2.0,2590,50,276,1290
3222,4105,70,1775,2.3,1780,60,253,1185
3223,13385,90,5745,2.3,5750,70,329,1504
3224,8290,80,3855,2.1,3880,70,239,1924
3225,8080,80,3620,2.2,3580,60,215,1723
3227,1230,90,525,2.3,530,70,376,149
3231,4135,80,2005,2.0,2190,60,323,1079
3232,9660,80,4340,2.2,4445,60,288,1101
3233,7850,90,3515,2.2,3675,70,445,717
3234,565,90,225,2.5,225,90,447,110
3235,6550,90,3030,2.2,3100,70,410,552
3237,1890,90,780,2.4,760,80,354,256
3238,1910,90,825,2.3,830,80,314,254
3241,7755,90,3260,2.3,3455,60,280,1119
3243,1510,90,670,2.2,680,70,264,194
3244,2420,90,1035,2.3,1035,60,277,257
3245,7195,90,3085,2.2,3270,60,262,1274
3247,5935,90,2400,2.4,2535,70,287,642
3248,2215,90,930,2.4,925,70,278,303
3249,1265,90,555,2.3,565,60,241,253
3251,3520,90,1535,2.3,1580,60,271,529
3252,2260,90,970,2.3,1020,80,353,283
3253,6245,100,2505,2.4,2635,70,422,489
3255,5205,90,2290,2.2,2260,60,260,695
3256,1105,90,515,2.1,520,60,256,108
3257,2705,90,1235,2.2,1110,70,240,377
3258,1715,90,745,2.3,735,70,247,184
3261,10580,90,4525,2.3,4565,70,336,1246
3262,9550,90,4105,2.3,4165,60,301,1686
3263,4675,90,1900,2.4,1895,80,300,1238
3264,4285,90,1585,2.7,1620,80,328,479
3265,1725,90,695,2.4,750,70,272,220
3267,2030,90,860,2.4,865,70,276,189
3271,4750,90,1960,2.4,1990,80,399,432
3273,2070,90,920,2.3,970,80,310,358
3274,3615,90,1565,2.3,1570,70,307,281
3281,9210,90,4035,2.3,4140,70,327,786
3284,3625,90,1645,2.2,1650,70,304,345
3286,4175,90,1760,2.4,1775,80,305,428
3291,7890,90,3470,2.3,3555,70,282,696
3292,470,90,235,2.0,225,80,266,64
3293,470,90,210,2.1,225,60,245,73
3295,9055,90,3980,2.3,4040,70,279,987
3297,7240,90,3115,2.2,3245,60,289,856
3299,3275,90,1415,2.3,1400,80,361,363
3311,16700,70,9055,1.8,9175,50,263,3778
3312,11455,70,5295,2.1,5290,70,249,2709
3313,5655,60,2800,1.9,2835,60,189,1417
3314,16005,50,7330,2.2,7440,50,192,3356
3315,18595,70,7850,2.4,7795,70,274,1877
3316,830,90,355,2.3,300,90,354,399
3317,14660,50,7330,2.0,7390,40,184,2773
3318,5855,60,2985,1.9,2985,30,204,2486
3319,10435,90,4320,2.3,4625,70,362,1674
3328,17050,80,7390,2.3,7490,80,252,2041
3329,2295,90,790,2.8,920,80,504,963
3331,11460,70,5305,2.1,5380,60,235,2742
3332,9825,80,4635,2.1,4825,50,263,2742
3333,7085,60,3265,2.1,3410,50,210,1958
3334,6195,80,2805,2.2,2815,50,255,1597
3335,6340,80,2610,2.4,2580,80,306,1320
3336,65,90,25,2.4,25,90,318,1200
3341,8540,80,3370,2.5,3535,70,312,1630
3342,6355,90,2530,2.5,2525,80,322,1447
3343,6655,90,2760,2.4,2760,70,293,2010
3344,10115,80,3730,2.7,3790,70,390,2333
3351,9170,80,4115,2.2,4255,60,269,2148
3352,3355,80,1380,2.4,1375,70,279,1551
3353,6070,70,3005,2.0,3110,40,239,2440
3354,2425,80,1160,2.1,1175,80,261,2199
3355,5785,90,2420,2.4,2435,70,292,1857
3356,5405,80,2160,2.5,2200,80,338,974
3361,6560,90,2695,2.4,2845,70,288,1693
3362,11255,80,5020,2.2,5205,50,231,1940
3363,7820,80,2960,2.4,3060,70,267,1194
3364,250,90,95,2.7,80,80,355,1019
3366,720,100,265,2.7,270,80,376,65
3371,12750,90,5020,2.5,5175,70,292,1153
3372,4670,90,1860,2.5,1965,60,277,559
3373,1090,90,375,2.9,385,80,329,763
3381,4880,90,1910,2.5,1910,80,412,316
3401,12140,80,5315,2.2,5495,60,360,2041
3402,9390,70,4285,2.2,4290,50,305,1965
3403,1985,90,805,2.5,810,90,400,1111
3404,9915,80,3905,2.5,3875,80,362,1672
3405,3625,90,1420,2.5,1420,70,413,279
3411,8110,90,3240,2.5,3330,70,365,499
3412,1195,90,480,2.5,505,80,398,105
3413,285,90,115,2.5,115,90,336,79
3415,1295,90,485,2.7,475,80,420,79
3417,9905,90,4160,2.4,4180,70,377,851
3421,8265,90,3610,2.3,3630,70,348,954
3425,785,100,290,2.7,290,90,543,496
3431,8070,60,4300,1.9,4210,40,253,2843
3432,6450,60,3115,2.0,3185,50,250,1857
3433,3495,80,1610,2.2,1590,60,309,1381
3434,8680,70,3810,2.2,3915,60,297,1505
3435,6025,70,2740,2.2,2800,70,291,1909
3436,6375,70,2660,2.4,2580,70,300,2443
3437,13280,70,6080,2.2,5990,70,323,1984
3438,10170,70,4550,2.2,4530,70,323,1886
3439,2005,60,1250,1.5,1285,10,216,974
3441,2805,80,1585,1.8,1555,50,318,2149
3442,4340,80,1825,2.4,1870,60,297,2338
3443,7475,80,3450,2.1,3520,50,313,1905
3444,265,90,115,2.3,115,90,604,696
3445,4630,80,1920,2.4,1955,60,378,1390
3446,9170,80,3455,2.6,3445,90,435,1217
3447,10,50,-99997,-99997.0,10,-99997,276,946
3448,9130,80,3895,2.3,3855,60,310,1515
3449,660,80,305,2.2,300,60,362,1834
3451,13010,70,4980,2.6,4925,70,490,1332
3452,15150,70,5150,2.9,5175,70,490,1705
3453,9125,70,3410,2.7,3385,80,423,1530
3454,13005,80,5090,2.5,5065,80,474,1557
3455,445,90,180,2.5,190,80,682,139
3461,3910,90,1545,2.5,1595,80,351,472
3464,380,100,140,2.7,145,80,495,42
3465,2045,90,730,2.8,730,80,390,199
3466,1655,90,645,2.6,635,80,405,177
3467,730,90,275,2.6,270,80,433,116
3471,3925,90,1525,2.5,1550,70,392,305
3474,2315,90,915,2.5,955,80,375,198
3481,8150,90,3370,2.4,3420,80,382,743
3511,9285,70,6200,1.5,5200,30,479,5624
3512,8445,70,5925,1.4,4620,30,500,6080
3513,6890,60,4215,1.6,3445,30,379,5637
3514,7535,70,4215,1.8,3360,60,484,6137
3515,6090,70,3345,1.8,2735,40,394,5664
3521,6725,70,3440,1.8,2960,50,409,4190
3522,8830,70,4585,1.9,4185,40,388,4632
3523,10155,70,5740,1.8,5325,40,331,4407
3524,11275,70,6340,1.8,5500,40,307,2251
3525,6095,50,2610,2.3,2615,40,367,3036
3526,12310,30,6585,1.8,6145,20,253,3252
3527,13005,40,6790,1.9,6335,20,258,3551
3528,20,50,15,1.3,5,-99997,611,1069
3531,11080,60,6495,1.7,5470,40,354,4354
3532,7060,60,3970,1.8,3230,50,360,4465
3533,9245,70,4080,2.2,3780,60,454,3480
3534,1285,80,550,2.3,495,90,391,2439
3541,8890,60,3685,2.4,3710,40,424,2400
3542,160,60,70,2.3,65,70,523,659
3543,11540,50,4765,2.4,4700,50,441,1734
3544,22510,60,8650,2.6,8480,60,455,2261
3545,1700,60,555,3.1,520,70,579,655
3546,210,90,75,2.8,75,90,998,221
3551,6885,70,4125,1.7,3340,40,337,4660
3552,7695,60,4045,1.9,3785,30,346,4732
3553,6920,70,4165,1.7,3450,60,335,3545
3554,7730,50,3605,2.1,3290,40,338,4179
3555,8545,60,4130,2.0,3940,40,335,2149
3561,9130,40,4375,2.1,4185,20,264,3675
3562,7890,40,4555,1.7,4540,20,211,3906
3563,7695,40,3540,2.1,3580,20,266,3809
3564,9405,30,4375,2.1,4545,20,255,2954
3565,40,60,30,1.3,25,40,405,1113
3566,340,80,145,2.4,125,80,770,1517
3571,10085,80,5115,2.0,4110,70,518,3835
3572,11515,70,6785,1.7,5295,60,495,4761
3573,5020,80,2260,2.2,2145,70,437,1879
3581,9755,70,5930,1.6,4510,50,561,5003
3582,8985,70,5905,1.5,4265,30,370,4331
