,Park Name,Latitude,Longitude
0,Amstelland,52.3614125,4.8963894
1,Amstelpark,52.328177499999995,4.893685762244072
2,Amsterdamse Bos,52.31157065,4.828337371464958
3,Beatrixpark,52.34283475,4.881749472595626
4,Brasapark,52.3075917,4.970068405563007
5,De Bretten,52.38702205,4.793451771866486
6,Diemerbos,,
7,Diemerpark,52.3521887,4.988009765089664
8,Erasmuspark,52.376003350000005,4.846918607079306
9,Flevopark,52.3617071,4.948567167276991
10,Gaasperplas,52.3113175,4.9843223
11,Gijsbrecht van Aemstelpark,52.328856650000006,4.874258063055
12,Het Twiske,,
13,Houthavenpark,52.3925101,4.87776562399724
14,Martin Luther Kingpark,52.3405075,4.910817712887538
15,Nelson Mandelapark,52.31158825,4.963526956006985
16,Noorder IJplas,52.41836725,4.861202215399027
17,Noorderpark,52.394587349999995,4.9195034559517925
18,Oeverlanden,52.333311699999996,4.81192062243683
19,Oosterpark,52.36014335,4.920540276968429
20,Park Frankendael,52.3504647,4.9298074546404695
21,Park Schinkeleilanden,52.34232005,4.850590432947835
22,Park Somerlust,52.3400083,4.915373425803429
23,Rembrandtpark,52.3638735,4.847443305445173
24,Sarphatipark,52.3543751,4.896387856239549
25,Westeinderscheg,,
26,Scheggen,,
27,Schellingwouderbreek,52.3887458,4.952378024596593
28,Sloterpark,52.36503595,4.812127156019273
29,Spaarnwoude,,
30,Strand IJburg,52.3574624,5.014589038964974
31,Tuinen van West,52.3659927,4.8670164
32,Vliegenbos,52.389093900000006,4.932881640136987
33,Volgermeer,52.416661250000004,4.997795053106583
34,Vondelpark,52.35719735,4.864119037446743
35,Wertheimpark,52.3678922,4.908897277617696
36,Westerpark,52.38722765,4.87179029210882
