Feature,PC2_Loading
eucl_dist_to_Erasmuspark_square,0.07601536877241223
eucl_dist_to_Wiltzanghlaan_square,0.07597160782656456
eucl_dist_to_Dam_sqrt,0.07583519042286156
eucl_dist_to_Van Woustraat / Ceintuurbaan_inverse,0.07559723606811855
eucl_dist_to_Park Schinkeleilanden_sqrt,0.07543963550623345
eucl_dist_to_Heemstedestraat_square,0.07543324809686404
eucl_dist_to_Nieuwezijds Kolk_sqrt,0.07508865423564354
eucl_dist_to_Bos en Lommerplein_square,0.07506382517364879
eucl_dist_to_Surinameplein / Curaçaostraat_sqrt,0.07504048413511463
eucl_dist_to_Station Lelylaan_square,0.07453547438578013
eucl_dist_to_Station Amsterdam Lelylaan_square,0.0744088245384464
eucl_dist_to_Sportlaan_sqrt,0.07435979581364088
eucl_dist_to_Corantijnstraat_sqrt,0.0743593399150014
eucl_dist_to_Jan Voermanstraat_square,0.07395959464845019
eucl_dist_to_Jan Tooropstraat_square,0.07354976131395713
eucl_dist_to_Postjesweg_square,0.07323242981034044
eucl_dist_to_Johan Huizingalaan_square,0.07311297512609291
eucl_dist_to_Zoutkeetsgracht_sqrt,0.07294838670770018
eucl_dist_to_Hoofddorpplein_sqrt,0.07286266545476645
eucl_dist_to_Meent_sqrt,0.07254806087844987
eucl_dist_to_Lutmastraat_inverse,0.07245280682671935
eucl_dist_to_Louwesweg_square,0.07238546239911364
eucl_dist_to_Brink_sqrt,0.07206019391953657
eucl_dist_to_Poortwachter_sqrt,0.07136160168501136
eucl_dist_to_Waterlooplein_inverse,0.07087025775963346
eucl_dist_to_Amstelkade_inverse,0.07074639076816003
eucl_dist_to_Nieuwmarkt_inverse,0.07054701569312569
eucl_dist_to_Laan van Vlaanderen_square,0.06966104856166633
eucl_dist_to_Oeverlanden_square,0.06957621823391445
eucl_dist_to_Victorieplein_inverse,0.06936008974613658
eucl_dist_to_Centraal Station_inverse,0.06924325513171226
eucl_dist_to_Centrum Nieuw Sloten_square,0.06820429661688239
eucl_dist_to_Sacharovlaan_sqrt,0.06793399391927717
eucl_dist_to_Station Amsterdam Centraal_inverse,0.06730292665733746
eucl_dist_to_Westwijk_sqrt,0.06722610350870606
eucl_dist_to_Meer en Vaart_square,0.06694893501117502
eucl_dist_to_Louis Davidsstraat_square,0.0668886088823946
eucl_dist_to_Oudenaardeplantsoen_square,0.06652791199420877
eucl_dist_to_Mr. Visserplein_inverse,0.06489145136156355
eucl_dist_to_Amsterdamse Bos_sqrt,0.0647744739212618
eucl_dist_to_Weesperplein_inverse,0.06291146591837506
eucl_dist_to_Amsteldijk,0.05942636146426945
eucl_dist_to_Martin Luther Kingpark_exp,0.05939072356065229
eucl_dist_to_Wertheimpark_inverse,0.05902746138367563
eucl_dist_to_Wibautstraat,0.05702016602239232
eucl_dist_to_Artis_log,0.055615703545808935
eucl_dist_to_Camperstraat_exp,0.053887244714015486
eucl_dist_to_K. `s-Gravesandestraat_exp,0.0516081375207849
eucl_dist_to_Park Somerlust_exp,0.05148582949931215
eucl_dist_to_Noorder IJplas_sqrt,0.0487361546515218
eucl_dist_to_Plantage Lepellaan_exp,0.0487193302799655
eucl_dist_to_Muziekgebouw Bimhuis_exp,0.04842137269061203
eucl_dist_to_Station Amsterdam Amstel_exp,0.047888863671490305
eucl_dist_to_Beukenweg_exp,0.04748340078227005
eucl_dist_to_Overamstel_exp,0.04668469802884818
eucl_dist_to_Amstelstation_exp,0.04657524683379772
eucl_dist_to_Isolatorweg_sqrt,0.04642833232622603
